V,I,G,P,fault_type
141.21667,9.81488,843.33105,1386.0246700496,1
137.51478,9.80609,843.35362,1348.4823090102,1
141.51595,9.77986,843.30039,1384.006178767,1
141.75384,9.79296,843.08493,1388.1896849664,1
141.21419,9.81489,843.32402,1386.0017412891,1
143.42784,9.77544,843.4358,1402.0702442496,1
142.01663,9.74367,843.05619,1383.7631772321,1
141.48311,9.76298,843.16839,1381.2967732678,1
138.89274,9.82924,843.37704,1365.2100757176,1
140.5965,9.80149,843.04937,1378.055188785,1
142.44872,9.76695,843.04065,1391.289525804,1
141.44514,9.78167,843.08088,1383.5696825838,1
140.20673,9.81436,843.19479,1376.0393226428,1
139.72159,9.76773,843.10367,1364.7627662907,1
139.71942,9.77624,843.43154,1365.9305825808,1
141.89743,9.79627,843.10367,1390.0655365861,1
137.67659,9.80881,843.10068,1350.4435127579,1
139.55568,9.79221,843.27633,1366.5585252528,1
141.46458,9.7739,843.04384,1382.660658462,1
140.3986,9.8087,843.23886,1377.12774782,1
142.83945,9.77112,843.60633,1395.701406684,1
140.40579,9.79903,843.42111,1375.8405483837,1
139.40354,9.85662,843.44942,1374.0477204348,1
138.85777,9.80298,843.42835,1361.2199421546,1
139.71506,9.76353,843.40854,1364.1121797618,1
141.16667,9.79357,843.38811,1382.5256643119,1
138.58805,9.80557,843.31529,1358.9348254385,1
140.76505,9.8048,843.77581,1380.17316224,1
138.30182,9.78773,843.7262,1353.6608726686,1
139.1861,9.79036,843.30443,1362.682025996,1
140.01151,9.83247,843.40769,1376.6589717297,1
140.54695,9.7629,843.33296,1372.145818155,1
138.30284,9.78778,843.37618,1353.6777712952,1
140.49472,9.83325,843.49435,1381.51970544,1
140.82857,9.80606,843.48306,1380.9734071342,1
140.97687,9.75053,843.47987,1374.5992002411,1
143.64406,9.76302,843.05555,1402.3998306612,1
139.72412,9.84417,843.34914,1375.4679903804,1
141.57527,9.82351,843.40876,1390.7660805977,1
139.41138,9.75315,843.29464,1359.700100847,1
140.58481,9.76877,843.45794,1373.3406743837,1
140.13597,9.79861,843.77431,1373.1377170017,1
139.52015,9.78972,843.525,1365.863202858,1
138.37608,9.78613,843.48562,1354.1663077704,1
137.87348,9.79078,843.48327,1349.8889105144,1
140.12827,9.80914,843.35851,1374.5378183878,1
140.19306,9.79041,843.42749,1372.5475365546,1
139.76254,9.81929,843.04554,1372.3689113966,1
139.08973,9.81467,843.36234,1365.1198003391,1
140.38529,9.79178,843.4886,1374.6218749162,1
139.78638,9.80963,843.33637,1371.2526668394,1
141.86929,9.84329,843.43878,1396.4605635641,1
139.18504,9.79238,843.25291,1362.9528019952,1
141.04408,9.76506,843.28378,1377.3039038448,1
139.64729,9.79428,843.24801,1367.7446595012,1
140.7159,9.80409,843.12134,1379.591348031,1
140.86592,9.77206,843.23588,1376.5502221952,1
141.53655,9.78997,843.05683,1385.6385784035,1
140.06642,9.80936,843.40748,1373.9619376912,1
139.56272,9.79521,843.57717,1367.0461505712,1
139.95776,9.78814,843.49243,1369.9261489664,1
140.40255,9.79618,843.5695,1375.408652259,1
140.26336,9.79948,843.51329,1374.5079910528,1
141.36938,9.81521,843.93995,1387.5701522698,1
141.39246,9.79692,843.54182,1385.2106192232,1
142.33175,9.779,843.426,1391.86218325,1
140.8559,9.80862,843.48626,1381.601997858,1
136.71756,9.81235,843.47753,1341.520549866,1
137.01801,9.78482,843.58568,1340.6965646082,1
137.67786,9.83416,843.56886,1353.9461036976,1
143.35713,9.69361,843.67425,1389.6481089393,1
140.922,9.73313,843.97977,1371.61214586,1
142.34977,9.70492,843.42473,1381.4931298684,1
140.69469,9.67613,843.33722,1361.3801107497,1
139.01249,9.70199,843.72237,1348.6977878551,1
141.34741,9.72677,843.61655,1374.8537471657,1
141.054,9.69007,843.46198,1366.82313378,1
141.7387,9.70913,843.44389,1376.159464331,1
138.80295,9.74567,843.44069,1352.7277457265,1
138.0523,9.70388,843.1933,1339.642952924,1
140.95176,9.80205,843.48008,1381.616199108,1
141.70155,9.77764,843.38534,1385.506743342,1
138.4891,9.76252,843.34531,1352.002608532,1
140.03459,9.79478,843.51372,1371.6080014402,1
139.66232,9.83955,843.4309,1374.214380756,1
140.28077,9.79797,843.49073,1374.4667760369,1
140.09077,9.75868,843.49796,1367.1009953836,1
140.50332,9.79904,843.56205,1376.7976528128,1
143.14972,9.79506,843.38023,1402.1600963832,1
139.53923,9.76327,843.21608,1362.3591780821,1
142.4148,9.7676,842.71767,1391.05080048,1
140.04628,9.76272,842.95101,1367.2326186816,1
139.57724,9.79417,843.01872,1367.0432166908,1
140.42705,9.79773,843.23609,1375.8663205965,1
141.80577,9.75956,843.07343,1383.9619206612,1
143.26785,9.81437,843.14965,1406.0836890045,1
138.59625,9.82123,843.13837,1361.1856483875,1
139.59855,9.79073,843.11836,1366.7717114415,1
141.65681,9.79155,843.3962,1387.0397379555,1
139.96844,9.80391,843.37853,1372.2379886004,1
137.86442,9.90457,843.01701,1365.4877983994,1
138.46672,9.88998,843.06215,1369.4330914656,1
140.00174,9.84145,843.08195,1377.820124123,1
138.62034,9.84456,842.94314,1364.6562543504,1
140.68579,9.89746,842.94974,1392.4319790934,1
139.03972,9.90748,843.31465,1377.5332451056,1
140.34384,9.85869,843.49264,1383.6064119696,1
141.35779,9.87235,842.81944,1395.5335781065,1
138.27713,9.878,843.13262,1365.90149014,1
137.37686,9.85907,843.0911,1354.4080791202,1
136.34515,9.86691,843.36362,1345.3053239865,1
138.79323,9.86438,843.58313,1369.1091621474,1
138.26634,9.85321,843.58249,1362.3672839514,1
141.15184,9.90151,843.52841,1397.6163552784,1
137.19237,9.88725,843.41642,1356.4552602825,1
139.89732,9.88058,843.20671,1382.2666620456,1
140.43975,9.87754,843.3632,1387.199248215,1
138.27753,9.90076,843.53778,1369.0526379228,1
139.82393,9.9165,843.43282,1386.564001845,1
138.97706,9.86713,843.40748,1371.3047180378,1
142.18902,9.87386,843.03958,1403.9544770172,1
137.68378,9.90527,843.46816,1363.7950155206,1
140.01196,9.85908,843.37831,1380.3891145968,1
138.63365,9.8317,843.23609,1363.004456705,1
137.45065,9.90146,843.44687,1360.962112949,1
137.71688,9.88059,843.32551,1360.7240273592,1
139.84494,9.848,843.63976,1377.19296912,1
138.10271,9.88346,843.4705,1364.9326101766,1
138.22029,9.88927,843.22417,1366.8977672883,1
139.47126,9.903,843.44367,1381.18388778,1
139.25023,9.88875,843.28144,1377.0107119125,1
140.11668,9.87659,843.30252,1383.8750005212,1
137.47449,9.8821,843.36618,1358.536657629,1
140.13794,9.87586,843.19585,1383.9826761284,1
137.19854,9.87084,842.91056,1354.2648365736,1
136.60571,9.89468,843.17797,1351.6697866228,1
137.17238,9.88506,843.0151,1355.9572066428,1
137.73839,9.82871,843.25972,1353.7906911769,1
137.65746,9.85025,843.2033,1355.960395365,1
140.27187,9.88581,843.23907,1386.7010551647,1
138.72354,9.89626,843.23971,1372.8442199604,1
138.46703,9.89866,843.06002,1370.6380511798,1
139.36122,9.85036,843.12836,1372.7581870392,1
140.06172,9.84544,843.11538,1378.9692605568,1
134.83301,9.90611,843.20756,1335.6706286911,1
138.55737,9.91413,843.08642,1373.6757786381,1
141.61541,9.8243,842.89353,1391.272272463,1
138.71129,9.85235,843.1241,1366.6321780315,1
138.84577,9.8917,842.90141,1373.420703109,1
136.18956,9.89447,843.2246,1347.5235157332,1
137.58199,9.91104,843.16115,1363.5806061696,1
138.22317,9.9678,843.15519,1377.780913926,1
137.21337,10.02317,843.1835,1375.3129337829,1
139.00617,9.94958,842.99168,1383.0530089086,1
138.90322,9.91762,843.16413,1377.5893527364,1
140.88875,9.95454,843.17009,1402.482697425,1
139.31329,9.94731,843.41898,1385.7924827499,1
134.81641,9.93389,843.12347,1339.2513871349,1
138.56967,9.93287,843.41855,1376.3945180529,1
139.29077,9.99233,843.46624,1391.8393397941,1
138.84344,9.94332,842.81454,1380.5647538208,1
139.58413,9.97846,842.94633,1392.8346578398,1
141.34857,9.95822,842.9293,1407.5801567454,1
135.69278,9.96338,843.31998,1351.9587303964,1
137.07611,9.94186,843.13709,1362.7914949646,1
140.33048,9.94996,843.12474,1396.2826627808,1
138.83109,9.9941,843.11303,1387.491796569,1
138.63663,9.97522,843.13347,1382.9308843086,1
137.19986,9.9725,843.35766,1368.22560385,1
135.60811,9.97643,843.34467,1352.8848168473,1
141.91302,9.86256,842.63528,1399.6256745312,1
142.24844,9.88983,843.21842,1406.8128893652,1
139.95032,9.87524,843.07876,1382.0429980768,1
137.13644,9.85797,842.75046,1351.8869114268,1
135.62886,9.86263,842.93526,1337.6572635018,1
140.39445,9.90208,843.01297,1390.197075456,1
135.10551,9.8937,843.1009,1336.693384287,1
138.24974,9.87247,842.86904,1364.8664106578,1
139.30671,9.86856,843.34233,1374.7566260376,1
136.85488,9.91821,843.18478,1357.3554393648,1
139.99668,9.89519,843.11218,1385.2937479692,1
138.17752,9.88152,843.04001,1365.4039274304,1
140.45443,9.92286,842.87032,1393.7096452698,1
138.26235,9.89258,843.02596,1367.771358363,1
141.17213,9.83868,843.18989,1388.9474119884,1
140.06749,9.85413,843.2131,1380.2432552337,1
137.27629,9.89805,842.68829,1358.7675822345,1
136.61805,9.89296,842.78729,1351.556903928,1
139.99597,9.85066,843.19713,1379.0527018402,1
139.58246,9.88526,842.8469,1379.8089085396,1
142.10166,9.81102,842.6291,1394.1622282932,1
139.15249,9.80451,842.47943,1364.3219797299,1
139.53017,9.79215,842.44494,1366.3003541655,1
140.8517,9.79194,842.34892,1379.211395298,1
139.68905,9.80455,842.35978,1369.5882751775,1
140.52048,9.77865,842.79772,1374.100591752,1
139.67189,9.81276,842.4971,1370.5667353164,1
138.46662,9.78972,842.20776,1355.5494391464,1
141.79271,9.78964,842.67807,1388.0995855244,1
142.17064,9.77847,842.52265,1390.2113381208,1
139.87227,9.80329,842.66977,1371.2084257683,1
142.41091,9.76092,842.70277,1390.0614996372,1
140.2293,9.7828,843.16626,1371.83519604,1
139.38,9.79481,842.87586,1365.2006178,1
141.1031,9.80845,842.75259,1384.002701195,1
137.24749,9.7959,843.06726,1344.462687291,1
137.26657,9.78024,842.85159,1342.4999985768,1
140.30669,9.82446,842.99338,1378.4374636374,1
138.12382,9.79051,842.8122,1352.3026409482,1
140.74237,9.79055,842.75365,1377.9452106035,1
141.34862,9.77673,843.19649,1381.9272936126,1
138.63228,9.79394,843.26547,1357.7562323832,1
138.39698,9.82786,843.20756,1360.1461438628,1
140.21356,9.79083,843.24312,1372.8071296548,1
139.64942,9.80561,843.56333,1369.3477492462,1
139.15649,9.83941,843.3764,1369.2177592709,1
140.21174,9.8028,843.16221,1374.467644872,1
140.07392,9.78657,843.15221,1370.8432232544,1
140.87599,9.80865,843.13241,1381.8032793135,1
136.02542,9.80933,843.13943,1334.3182331686,1
139.12212,9.83183,843.11325,1367.8250330796,1
138.506,9.83157,842.95485,1361.73143442,1
139.85643,9.81708,843.31572,1372.9817618244,1
141.60918,9.81766,843.11303,1390.2707821188,1
140.22232,9.81383,843.13198,1376.1180106856,1
139.30646,9.82674,842.99487,1368.9283627404,1
142.82741,9.8089,843.33083,1400.979781949,1
142.44239,9.77926,843.04277,1392.9811668314,1
138.39293,9.79198,843.09451,1355.1408027014,1
141.41194,9.8283,842.89757,1389.838969902,1
140.30866,9.82449,843.28038,1378.4610270834,1
139.66931,9.83594,843.14646,1373.7789530014,1
140.99549,9.80979,843.38576,1383.1361478471,1
139.88467,9.77063,843.2725,1366.7613532421,1
138.50975,9.78519,843.18989,1355.3442206025,1
139.84195,9.80984,843.40024,1371.827154788,1
139.86898,9.81947,842.81475,1373.4392530406,1
141.16434,9.7614,842.92163,1377.961588476,1
139.81715,9.76131,843.0019,1364.7985444665,1
137.45394,9.81151,843.17648,1348.6307068494,1
139.70661,9.78796,843.39428,1367.4427104156,1
138.03271,9.80068,843.43963,1352.8144202428,1
140.10474,9.797,843.31465,1372.60613778,1
142.99362,9.77065,843.17456,1397.140613253,1
