V,I,G,P,no_module_fault,fault,partial_shading
136.45402,10.02463,853.79658,1367.9010625126,0,0,0
134.1731,10.0654,853.73654,1350.50592074,0,0,0
136.9973,10.03248,853.39228,1374.422672304,0,0,0
137.19298,10.00841,853.3976,1373.0835929618,0,0,0
136.63,10.04892,853.53556,1372.9839396,0,0,0
140.61948,10.07619,853.64712,1416.9085981812,0,0,0
136.25247,10.04722,853.42847,1368.9585416334,0,0,0
138.57782,10.01646,853.48319,1388.0591909172,0,0,0
136.68836,10.04208,853.57367,1372.6354461888,0,0,0
137.10628,10.02738,853.19726,1374.8167699464,0,0,0
136.25019,10.08071,853.36119,1373.4986528349,0,0,0
135.41228,10.03341,853.50277,1358.6469242748,0,0,0
138.08742,10.02593,853.50959,1384.4548068006,0,0,0
142.16614,10.05246,853.49979,1429.1194357044,0,0,0
137.06401,10.05163,853.22749,1377.7167148363,0,0,0
138.34424,10.05113,853.41442,1390.5159409912,0,0,0
137.53538,10.02721,853.66692,1379.0961376898,0,0,0
138.22059,10.02387,853.6831,1385.5052254833,0,0,0
134.5603,10.04154,853.54025,1351.192634862,0,0,0
136.8112,10.04397,853.43209,1374.127588464,0,0,0
138.62155,9.99147,853.73399,1385.0330581785,0,0,0
139.46225,10.0148,853.50597,1396.6865413,0,0,0
135.43521,10.06676,853.43741,1363.3937546196,0,0,0
136.89815,10.05203,853.61753,1376.1043107445,0,0,0
139.29795,10.01503,853.7012,1395.0731481885,0,0,0
138.54052,10.01811,853.56217,1387.9141688172,0,0,0
137.36744,10.09018,853.67246,1386.0621957392,0,0,0
139.13609,10.08438,853.76273,1403.1012032742,0,0,0
137.80586,10.00106,853.71951,1378.2046742116,0,0,0
138.64534,10.03855,853.52172,1391.798177857,0,0,0
139.99177,10.05317,853.47659,1407.3610624109,0,0,0
137.3101,10.04053,853.67459,1378.666178353,0,0,0
139.85784,10.02784,853.42592,1402.4720422656,0,0,0
137.55188,10.03385,853.64244,1380.174931138,0,0,0
137.65473,10.04242,853.39377,1382.3866136466,0,0,0
138.10499,10.08033,853.57176,1392.1438738467,0,0,0
138.01171,10.04563,853.62456,1386.4145743273,0,0,0
137.95016,9.99527,853.47574,1378.8490957432,0,0,0
136.4242,10.05711,853.58751,1372.033186062,0,0,0
139.69659,10.09031,853.45998,1409.5818990429,0,0,0
137.78121,10.00953,853.03566,1379.1251549313,0,0,0
139.95381,10.04318,853.1221,1405.5813055158,0,0,0
135.05611,9.99828,853.0165,1350.3288034908,0,0,0
139.50026,10.01585,853.2507,1397.213679121,0,0,0
137.81836,10.04888,853.46956,1384.9201614368,0,0,0
138.08069,10.05054,853.12231,1387.7854980726,0,0,0
138.76094,9.99974,853.10081,1387.5733221556,0,0,0
141.01786,9.9934,853.27305,1409.247882124,0,0,0
140.81475,10.04079,853.28497,1413.8913336525,0,0,0
